DivisionNm,2019,Margin,Age20_24,Age25_34,Age35_44,Age45_54,Age55_64,Age65plus,EnglishOnly,Indigenous,HighestEduc_Bach,HighestEduc_DipCert,HighestEduc_NoTertiary,HighestEduc_PGrad,CurrentlyStudying,Industry_Distributive,Industry_Extractive,Industry_Finance,Industry_InfoProf,Industry_SocialServ,Industry_Transformative,Married,Occup_Admin,Occup_Laborer,Occup_MachOp,Occup_Manager,Occup_Professional,Occup_Sales,Occup_Service,Occup_Tradesperson,Relig_Christian,Relig_Catholic,Relig_Other,Relig_None,Tenure_Mortgage,Tenure_Owned,Tenure_PublicHousing,Tenure_Renting,Unemployed
Adelaide,0.4182,0.0818,9.636753561,18.08787252,13.42533947,12.29581972,10.87739183,14.88877036,63.07082892,1.213414228,20.50403531,21.58743773,39.16884218,9.71313435,33.22610396,15.93760645,2.398143293,3.324178404,10.26566578,26.42836288,12.14210824,40.71590209,12.76940001,9.674901867,4.262450995,12.15595918,28.62885487,8.848060649,11.82369507,10.42204471,24.33384448,18.71458097,23.46656444,33.48501011,29.15165869,26.74395489,7.210029669,40.27625926,9.156387092
Aston,0.6013,0.1013,6.572410662,13.21940463,13.52098061,14.32583177,12.92171996,15.40891108,73.9014119,0.413775212,15.71411521,29.82246905,40.49457693,6.689262198,27.97198262,20.36298498,1.095798197,3.667736725,8.992692691,21.88036145,19.55052082,51.796645,15.68409142,8.107158743,5.627305415,11.87409523,20.75120177,10.76127765,10.0528888,15.1674663,28.28523251,21.56624943,16.56916791,33.57935015,43.65122397,34.18558754,1.500772948,18.92506979,5.542766068
Ballarat,0.3974,0.1026,6.530585311,11.61603942,12.18206747,13.42996869,13.08756571,17.80862093,94.74325994,1.283094678,12.35129799,30.0247484,41.14208146,6.063796793,30.27810161,16.80676722,4.367229802,1.527605237,6.890862261,28.21216286,17.10306702,46.16085947,12.06717496,11.06981809,5.886651963,11.84624856,20.09601548,9.941312984,12.33896512,15.1336609,26.64217789,23.63753675,12.3917618,37.32852356,36.60267502,34.59597016,2.951392948,25.60631123,6.9109327
Banks,0.5626,0.0626,6.87093779,14.48210048,13.22668421,13.40077891,11.98674301,16.14696173,53.12513358,0.814376354,17.8161873,25.28403814,41.00848578,7.944761325,29.69991231,20.16859225,0.770597397,6.553168144,10.42302631,20.68726372,13.8544795,50.66757663,16.62073759,8.090842648,5.942361644,11.98078334,23.41420762,9.669867199,9.794816348,12.59958097,31.60334777,24.22173218,20.34264418,23.83227587,32.75703665,34.76665828,6.213821211,29.6669386,6.290044362
Barker,0.6894,0.1894,5.055250287,10.61590484,11.61946742,14.1072399,14.29623815,20.28742226,93.98796055,2.460600205,6.99809184,29.96337092,49.84925349,2.009417608,27.42527625,17.9587781,16.67901594,1.019647791,2.774613178,18.93794145,18.79530286,50.59682003,10.15204126,18.74583486,8.139327244,16.13680166,11.71847089,9.24719026,10.72648515,13.57383282,39.09727673,13.70750559,12.2063885,34.98882918,34.64434878,35.69942495,3.803966359,25.48485003,6.16792585
Barton,0.4059,0.0941,7.882808945,20.16517788,14.22557032,12.168334,9.988423726,14.34421273,37.30768657,0.666355662,19.75368262,21.36759601,40.0068259,9.406080368,31.33484228,20.08635631,0.447333205,6.285371947,11.38280898,19.66507074,11.92286161,46.87801483,14.60023118,9.835185848,5.929963533,11.52667654,24.12727703,9.81917278,9.808504741,12.05774868,26.40311926,20.49749181,27.98636188,25.11302705,29.22046255,31.25782616,2.046129816,36.14835539,6.520937505
Bass,0.5041,0.0041,6.712594776,11.27157759,11.49503801,13.52179471,13.53448023,19.27126533,93.9726204,3.316777096,11.00223564,28.40931817,45.39581021,4.112699695,30.01883313,18.88596292,5.960903968,2.178963113,5.102033629,25.96966135,15.14998193,45.42239337,11.67866243,12.64635079,7.693569807,11.42884047,18.06071313,10.83999061,12.36651298,13.7265904,36.39574938,13.75013417,13.41445564,36.43966081,32.33963532,34.81275701,4.67628901,29.33710708,8.461504308
Bean,0.4248,0.0752,6.046333638,13.59321186,13.84931265,14.17900562,12.44958936,14.30999971,82.31505564,2.05910924,19.05788631,27.17948734,35.07680235,10.92849608,29.90933443,11.1287917,0.870594681,1.220887755,9.003453165,21.96480785,8.930383905,50.33896339,18.70562767,5.374394336,2.998968903,15.07777117,26.68509801,7.057655081,10.51024881,11.09236672,25.48202879,25.71237232,15.82158312,32.98401578,43.23008399,31.4091048,5.617997642,22.74456256,4.118935268
Bendigo,0.4115,0.0885,6.300292152,11.59133162,11.84328589,13.19852704,13.41243692,18.9611732,95.11898963,1.514596837,11.84861277,30.23121112,40.58003363,5.474303054,29.85263188,16.13054594,5.303786315,3.264999388,5.623123106,26.68668635,18.02705026,46.22930032,11.80993989,12.4914789,5.932004817,11.61852979,20.15567555,9.898920097,12.10364975,14.57489876,28.55409838,20.80524869,13.39808055,37.24257237,36.76442737,34.74736179,2.889614859,25.0818988,6.330497951
Bennelong,0.5691,0.0691,7.99095653,16.92462988,14.42527921,12.7623905,10.92595216,14.33437227,48.65865499,0.335293145,25.46528995,20.66003136,32.3129351,14.29744969,31.66159005,16.85434597,0.689619432,7.375945194,16.54312717,22.31236457,10.81379233,51.8324473,14.9978521,5.568874079,2.809945391,14.04809561,33.71576654,8.695738399,8.284485188,9.85446537,25.99997638,23.36426531,19.7362518,30.89950651,31.00466234,32.07867541,3.136423679,34.05296104,6.385446034
Berowra,0.6565,0.1565,6.192934764,9.377567309,13.47457571,15.16507591,12.85541581,16.6311557,71.76624258,0.470214201,23.44631486,25.47253191,31.7720623,12.28313705,31.47629893,16.07872111,1.498507659,6.512301571,15.33026728,24.71181067,13.07484881,58.90241885,15.03467167,5.18070307,2.494070751,16.78821576,31.63379144,8.46067586,8.371700571,10.40386139,33.31908442,23.38113399,16.31857012,26.98121147,41.85059101,39.0492334,0.652702692,15.63977274,4.555866657
Blair,0.4879,0.0121,6.778732519,14.11758913,12.84530727,12.85761769,11.14400729,13.04966023,92.59104778,4.391742171,8.306461,33.07980846,45.26448685,2.970445176,31.15397873,19.52236228,4.239319962,2.036265931,4.666027174,22.25306563,18.45654018,44.43541283,13.63038365,13.97312626,9.836422063,9.539753398,13.92157309,9.296811376,12.96954472,15.19280046,38.45097991,19.24980303,12.80591393,29.49330313,35.50623537,24.88244384,2.649911843,36.47825036,9.06817141
Blaxland,0.3528,0.1472,8.094149806,17.46151778,12.86269633,11.7793686,10.15381685,11.96365755,27.09177146,0.537742824,12.48207824,20.91348148,51.86746886,4.641528977,34.22284959,21.67817877,0.495410189,4.026592633,6.733415149,18.10934135,19.09651607,47.79434903,13.46332497,13.19567778,9.629922971,8.131684731,15.82691027,9.766826587,10.74710282,16.06209986,17.03412427,19.17445273,50.459322,13.33210101,28.91282689,27.98970912,8.162958888,38.70655892,10.36832303
Bonner,0.5741,0.0741,6.711378261,13.2226147,14.53082648,14.01059029,11.06214337,14.69518135,80.6606564,1.718436243,18.51377686,27.54023196,38.17613953,8.052177444,30.15116672,18.07986875,2.246936304,3.627004432,9.680124161,24.66401995,14.82800831,49.87230971,15.83957603,8.01932246,5.129152538,13.11658479,25.25338736,9.433595064,9.672879233,12.12716905,33.731187,23.60414333,14.43406917,28.23060049,38.26524136,31.4542042,3.093799901,27.23222559,6.443927154
