District,0-11 years,12-17 years,18-24 years,25-34 years,35-49 years,50-59 years,60-84 years,BachAbv,Diploma,Vocational,None,FullTime,PartTime,Unemployed,Owned,Mortgage,SocHousing,Renting,Agriculture,Mining,Transformative,Hospitality,Distributive,Digital,Finance,PMEdT,SocServ,EngOnly,OtherLang,Managers,Professionals,Technicians,Services,Admin,Sales,MachOp,Labourers,Swing2pp,Incumbent
Albany,14.39,8.82,7.21,10.67,18.45,13.9,26.56,15.17,10.05,26.85,47.93,53.69,41.02,5.29,38.37,32.66,6.2,22.77,7.42,1.33,17.52,7.5,19.91,4.18,3.45,15.4,23.3,93.48,6.52,12.88,16.52,16.04,13.37,11.4,10.48,6.57,12.75,6.3,LaborRetiring
Armadale,18.15,7.3,9.52,16.19,18.9,11.46,18.49,11.39,8.84,27.1,52.67,55.75,32.58,11.66,23.19,46.95,4.71,25.15,0.83,3.37,21.22,6.46,25.89,4.88,3.12,11.8,22.44,82.45,17.55,7.19,11.13,18.06,13.12,13.79,10.38,13.01,13.33,3.8,Labor
Balcatta,13.18,4.52,8.39,21.92,20.83,10.76,20.41,28.8,10.75,18.55,41.91,58.97,33.16,7.87,28.69,34.11,4.9,32.3,0.49,3.29,17.55,8.05,18.6,5.77,5.8,17.63,22.83,61.17,38.83,11.05,23.78,14.88,10.57,14.66,9.8,5.39,9.86,-3.6,LaborGain
Baldivis,22.31,7.83,9.72,19.14,20.74,9.32,10.93,16.05,10.4,29.56,43.99,59.85,31.11,9.04,15.67,59.7,1.17,23.46,0.76,5.77,21.11,6.53,20.1,4.37,4.12,13.45,23.78,85.33,14.67,9.17,15.53,19.28,12.91,13.84,9.89,9.34,10.04,-6.2,Labor
Bassendean,15.83,7.07,9.18,14.86,21.15,13.04,18.88,18.77,9.23,22.84,49.16,56.99,33.85,9.16,29.95,44.77,5.51,19.77,0.56,3.71,18.89,7.55,21.28,5.13,4.28,14.72,23.89,73.11,26.89,9.24,17.5,17.15,12.43,15.05,9.63,8.01,10.99,4.1,Labor
Bateman,13.06,8.02,10.33,11.49,18.98,13.84,24.29,40.54,11.07,13.3,35.09,54.02,38.89,7.09,45.19,32.01,1.16,21.63,0.58,4.63,13.28,7.31,16.96,3.63,6.67,23.89,23.05,73.88,26.12,15.66,33.2,9.7,8.91,14.27,10.06,2.73,5.47,-0.4,LibNatRetiring
Belmont,13.63,5.01,10.13,20.78,21.07,11.39,17.99,24.6,10.53,20.81,44.07,60.28,30.94,8.78,24.98,34.44,7.21,33.37,0.53,5.55,17.2,8.75,21.04,5.77,5.4,14.05,21.71,69.09,30.91,10.84,19.71,16.59,11.35,14.49,8.73,8.01,10.27,-3.7,LaborGain
Bicton,14.82,7.85,7.79,11.26,21.34,13.61,23.35,36.47,11.33,17.13,35.08,55.94,38.06,5.99,38.29,37.18,3.03,21.5,0.61,4.6,14.89,6.32,15.65,4.03,5.75,23.57,24.57,89.49,10.51,16.23,32.26,10.97,10.37,13.55,8.84,2.81,4.97,2.1,LaborGain
Bunbury,15.93,8.43,7.88,13.07,20.43,13.15,21.12,16.31,8.86,27.35,47.48,55.14,36.1,8.76,28.24,37.39,6.56,27.8,1.52,4.73,23.21,6.88,19.44,4.4,3.5,14.02,22.32,89.44,10.56,9.56,18.16,17.51,11.14,11.84,10.13,8.16,13.5,2.1,LaborGain
Burns Beach,17.44,9.74,10.77,12.58,23.75,13.56,12.16,19.02,11.48,26.28,43.22,55.18,35.78,9.04,19.14,56.02,1.95,22.89,0.84,4.23,21.25,7.1,18.68,5.05,5.22,15.72,21.91,85.51,14.49,11.35,18.11,18.45,12.26,14.27,11.01,5.09,9.45,-7.5,LaborGain
Butler,21.14,8.58,9.59,16.97,21.39,9.17,13.16,13.48,11.05,29.71,45.77,57.06,33.39,9.55,13.58,58.33,2.23,25.85,1.43,5.43,22.68,6.8,19.02,5.13,4.55,13.28,21.7,88.28,11.72,8.84,13.92,20.9,13.28,13.83,10.6,7.31,11.32,2.4,Labor
Cannington,15.36,5.68,10.94,21.27,19.47,10.16,17.14,26.94,9.91,18.83,44.32,54.35,34.98,10.67,28.85,38.3,3.47,29.39,0.52,3.11,17.17,9.84,22.43,5.75,4.11,14.58,22.49,54.53,45.47,7.87,18.75,16.26,12.36,13.3,9.24,9.05,13.16,1.2,Labor
Carine,16.4,8.09,7.52,8.64,21.06,13.54,24.76,34.69,12.14,17.68,35.49,53.98,40.2,5.83,43.87,41.84,0.69,13.59,0.47,4.77,16.19,5.13,14.58,4.48,6.53,25.33,22.52,89.37,10.63,15.86,31.21,12.08,9.4,14.69,9.38,2.62,4.76,1.5,LibNat
Central Wheatbelt,14.96,5.94,6.43,11.73,19.17,15.38,26.4,10.81,7.47,24.86,56.86,62.31,31.67,6.02,43.79,29.41,6.62,20.18,22.95,10.35,12.96,4.31,15.67,2.86,2.06,10.85,17.98,95.16,4.84,22.9,11.06,16.11,8.84,10.14,6,12.55,12.4,2.6,LibNat
Churchlands,16.19,8.5,8.14,12.79,21.66,12.19,20.54,46.75,10.85,11.43,30.97,54.99,38.88,6.12,36.82,36.22,2.42,24.54,0.53,5.23,11.92,6.66,14.1,5.67,6.32,25.05,24.52,80.07,19.93,16.5,37.09,8.13,9.04,12.25,8.53,2.2,6.26,1.6,LibNat
Cockburn,18.65,8.13,9.22,15.99,24.32,11.29,12.41,21.87,10.43,24.72,42.98,59.16,33.16,7.68,22.35,54.22,2.61,20.82,0.82,4.2,21.43,6.36,20.74,4.21,4.43,15.81,22.01,77.27,22.73,11.01,19.78,17.69,10.33,15.77,9.69,6.44,9.29,1.7,LaborRetiring
Collie-Preston,17.35,8.39,7.24,11.66,19.36,13.97,22.03,11.6,8.4,30.5,49.49,54.47,37.41,8.12,34.71,44.38,2.47,18.44,5.35,9.12,24.06,6.27,17.91,3.62,3.05,12.49,18.13,95.03,4.97,10.79,12.92,20.23,10.35,11.62,9.57,11.67,12.85,5.3,LaborRetiring
Cottesloe,12.88,9.93,8.27,11.15,18.56,13.46,25.74,50.66,10.04,8.85,30.44,54.85,39.52,5.63,41.47,29.43,3.46,25.64,1.01,5.44,9.78,6.35,12.6,3.91,8.06,27.53,25.31,88.24,11.76,19.14,42.53,5.75,9.35,10.64,7.62,1.33,3.64,7.5,LibNat
Darling Range,18.51,8.29,8.85,13.85,20.87,13.06,16.57,15.08,10.35,29.35,45.22,58.82,34.08,7.09,28.13,60.46,0.36,11.05,2.54,5.37,23.36,4.56,21.65,4,3.97,13.99,20.56,91.24,8.76,11.23,14.64,20,10.59,15.14,9.23,9.99,9.18,6.6,LibNatGain
Dawesville,14.69,7.69,7.41,9.09,17.89,13.11,30.12,12.8,10.25,27.69,49.25,51.03,38.46,10.51,38.59,38.39,0.99,22.03,0.89,8.91,22.23,7.33,18.32,4.54,4.34,14.34,19.1,93.89,6.11,10.11,15.4,19.12,11.99,12.34,11.37,9.26,10.41,-0.6,LibNat
Forrestfield,17.03,7.48,8.96,15.53,20.9,12.35,17.74,14.9,9.13,26.2,49.77,60.06,31.68,8.27,28.74,50.3,2.22,18.74,0.75,5.08,20.62,6.37,26.69,4.65,3.99,12.06,19.79,81.66,18.34,9.12,13.33,18.89,10.68,16.37,9.44,11.73,10.44,-2,LaborGain
Fremantle,12.16,5.42,7.4,15.58,21.54,13.75,24.15,31.33,10.02,19.18,39.46,55.04,36.69,8.27,31.42,33.04,8.78,26.75,0.59,3.72,16.83,8.11,15.67,4.45,3.26,22.38,24.99,79.59,20.41,12.71,30.25,14.51,11.31,11.05,7.71,4.49,7.98,9,Labor
Geraldton,16.69,8.78,8.21,12.13,19.85,13.47,20.87,12.51,8.3,27.83,51.36,56.06,34.83,9.11,31.6,36.16,6.34,25.89,4.46,4.38,15.32,7.6,22.49,4.09,3.46,15.58,22.63,91.87,8.13,11.18,16.64,17.07,11.87,13.03,10.29,8.43,11.48,1.1,LibNat
Hillarys,16.23,7.88,8.5,12.47,21.1,14.21,19.62,25.25,11.41,23.88,39.46,55.72,37.3,6.97,35.32,46.36,0.69,17.63,0.48,4.25,20.81,5.96,16.11,4.79,5.64,19.58,22.4,89.7,10.3,12.68,23.18,17.2,10.7,15.1,9.68,4.13,7.33,-5.2,LibNat
